176.0
4 / 4
Note/Rest,Octave,Len,Offset
F#,4,0.125,294.666666667
F,4,0.25,294.875
E-,4,0.125,295.125
D,4,0.125,295.333333333
C,4,0.125,295.625
B-,3,0.125,295.875
G,3,0.125,296.125
F,3,0.375,296.25
B-,3,0.25,299.0
D,3,3.625,299.5
C,2,0.333333333333,303.625
C#,2,0.25,306.666666667
C,5,0.125,307.666666667
F,6,0.125,309.25
G,5,0.125,309.666666667
E,6,0.25,310.125
E,5,0.25,313.666666667
C,5,0.25,314.375
B-,4,0.125,314.875
C,5,0.125,315.25
A,4,0.25,316.125
A,4,0.25,316.666666667
F,4,0.125,317.5
G,4,0.25,317.666666667
B,3,0.333333333333,318.625
D,3,0.125,319.25
D,5,0.125,323.875
B-,4,0.25,326.5
C,3,3.125,327.875
A,3,0.25,331.0
E,3,0.125,332.5
E,2,0.875,334.75
D,4,1.125,335.75
C#,2,1.0,339.0
E-,3,1.75,340.0
B-,1,0.25,343.5
G#,5,0.125,344.375
B-,5,0.333333333333,344.75
D,4,0.25,346.5
G,5,0.25,347.75
G,5,0.125,348.333333333
B,4,0.125,350.75
C,5,0.333333333333,351.75
C,5,0.25,352.25
G,4,0.125,352.5
C,4,0.125,353.0
F,4,0.25,354.375
A,3,0.375,355.125
F#,2,0.25,356.625
E,3,1.0,356.875
E-,6,0.25,359.125
B,5,0.25,359.666666667
B-,5,0.25,361.25
B,5,0.125,362.666666667
D,6,0.25,363.5
B,5,0.25,364.0
G,5,0.125,364.375
B,5,0.25,365.5
B,5,0.25,366.25
A,5,0.25,368.75
C,5,0.125,369.666666667
C#,6,0.25,370.333333333
C#,3,0.125,371.375
F,5,0.125,372.333333333
F,6,0.25,373.333333333
E,5,0.125,375.5
B,3,0.125,376.625
F,5,0.25,377.333333333
F,4,0.375,378.625
D,5,0.625,379.0
D,3,0.125,380.666666667
G#,5,0.25,382.75
D,4,0.125,383.625
G#,5,0.25,384.25
C,5,0.25,384.666666667
B-,4,0.666666666667,385.0
G#,4,0.125,386.0
A,4,0.375,386.333333333
B,2,0.0,387.666666667
C,3,0.25,387.666666667
C,2,0.875,388.75
C,6,0.125,390.0
C#,6,0.25,390.125
D,6,0.25,390.375
F,1,0.333333333333,390.625
D,6,0.75,393.0
G,5,0.25,399.666666667
B,3,0.666666666667,402.625
B-,6,0.125,405.875
G,6,0.125,406.125
A,3,0.25,406.375
E-,6,0.25,406.625
D,6,0.125,406.875
C,6,0.125,407.0
B-,5,0.125,407.333333333
E,3,0.125,409.5
D,3,0.333333333333,413.625
D,5,0.125,415.75
F,4,0.125,419.125
E,4,0.125,419.5
C,3,0.125,419.625
C,3,1.0,419.875
B-,4,0.125,421.75
D,5,0.375,422.75
B-,4,0.25,423.5
D,4,0.25,423.875
D,5,0.5,428.0
F,4,0.25,428.666666667
D,5,1.875,429.0
A,6,0.25,431.75
B-,3,0.125,434.0
E,6,0.75,434.125
F,4,1.0,436.0
C,4,1.25,437.666666667
E,7,0.125,439.0
F,3,0.25,439.875
F,3,0.25,440.625
A,3,0.25,440.875
A,4,0.125,441.125
B,3,0.25,441.666666667
D,4,0.25,442.125
D,4,0.25,442.625
F,4,0.333333333333,443.5
G#,4,0.25,443.875
A,4,0.25,444.125
G,4,0.25,444.5
G#,5,0.125,445.125
C,6,0.0,445.25
D,5,0.25,445.875
E,6,0.125,446.333333333
