145.0
3 / 4
Note/Rest,Octave,Len,Offset
B,2,0.25,190.666666667
C#,5,1.5,192.0
E-,3,1.0,195.125
G,3,1.625,202.75
G,3,6.125,205.125
G,3,7.125,213.125
C#,3,4.66666666667,220.625
E-,4,0.5,225.75
C,4,0.75,229.875
G,3,1.75,232.375
G,2,3.375,236.333333333
E-,3,1.25,338.25
B-,5,0.125,346.5
G#,3,0.75,353.125
C#,5,0.5,355.0
C,4,0.5,360.75
B,6,0.125,361.875
C,4,1.125,362.125
C,4,0.25,383.125
B,3,0.5,384.125
E,3,0.375,396.0
G,6,0.75,400.0
E,5,0.75,3.375
C,4,0.875,19.75
C,4,1.0,22.5
A,4,0.875,58.75
B-,3,0.125,81.0
F,3,0.75,88.75
C,4,1.75,105.125
G,5,0.875,114.0
G,3,0.125,126.0
G,3,0.666666666667,126.125
E,3,1.33333333333,129.0
C#,5,1.125,133.5
F,3,0.625,147.0
G,3,1.125,163.0
D,4,0.25,175.125
E-,2,2.875,192.0
F,4,0.666666666667,195.125
G,5,1.0,202.75
C,4,3.125,205.125
G,5,0.25,208.5
G,5,0.25,209.75
C,4,0.875,213.125
C,4,0.625,214.333333333
C,5,0.375,217.25
C,4,0.375,218.125
G,3,3.625,220.625
C,4,0.333333333333,225.875
F,3,1.66666666667,232.375
C,2,5.625,236.333333333
C,2,0.25,400.125
C,5,0.125,23.125
E,3,1.625,54.125
E,4,0.75,58.875
F#,5,0.125,105.75
C,5,0.25,206.333333333
C,4,1.0,208.5
G#,2,2.875,232.375
C,4,0.0,236.375
F,4,1.5,232.375
